task,lambda_penalty,T,n,accuracy_mean,accuracy_std,entropy_delta_mean,entropy_delta_std,entropy_mean_mean,entropy_mean_std,q_delta_mean_mean,q_delta_mean_std,slot_shift_mean_mean,slot_shift_mean_std,attention_coverage_mean,attention_coverage_std,chain_step_accuracy_mean,chain_step_accuracy_std,chain_full_accuracy_mean,chain_full_accuracy_std,alpha_mean,alpha_std,grad_norm_mean,grad_norm_std,runtime_sec_mean,runtime_sec_std
babi_task2,0.25,1,5,0.1296875,0.037581292096267795,0.0,0.0,4.294450855255127,0.007692307799208299,0.5339441657066345,0.032572322741907175,0.0,0.0,1.0,0.0,0.059375,0.06923655950345164,0.059375,0.06923655950345164,0.09868121594190597,0.0010116796449810086,3.471114845710134,0.42908406823604095,0.21681680679321289,0.013756362362934796
babi_task2,0.25,3,5,0.12109375,0.06071674758664202,-0.0044040679931640625,0.00299289239057737,4.292678515116373,0.009229462359405456,0.5421714266141255,0.028263039515079184,0.02748359218239784,0.005845707690234194,1.37109375,0.09660370277906019,0.082421875,0.01744305747012977,0.0,0.0,0.10092829465866089,0.0014832488137118184,4.098786196062013,0.7738954863711811,0.41813297271728517,0.021030251835095267
babi_task2,0.25,5,5,0.14296875,0.0225888004606265,-0.01725311279296875,0.010383798532115652,4.287949829101562,0.008237556308577679,0.5285366988182068,0.02147760902779044,0.029330076090991496,0.002772942993031685,1.6421875,0.1331933876572895,0.08515625,0.017364149039760052,0.0015625,0.001913663861549358,0.0995242565870285,0.0013158389863409097,4.593254054005379,0.9140724167918048,0.5694780349731445,0.02545281098675447
babi_task2,0.5,1,5,0.1296875,0.037581292096267795,0.0,0.0,4.294450855255127,0.007692307799208299,0.5339441657066345,0.032572322741907175,0.0,0.0,1.0,0.0,0.059375,0.06923655950345164,0.059375,0.06923655950345164,0.09868121594190597,0.0010116796449810086,3.471114845710134,0.42908406823604095,0.20574336051940917,0.017667013915887965
babi_task2,0.5,3,5,0.12109375,0.06071674758664202,-0.002924537658691406,0.0027086413734728814,4.2934783299764,0.008907519706270938,0.5421400944391885,0.028290065388933066,0.027337829396128655,0.005661078724958175,1.37578125,0.09762186894786946,0.082421875,0.01744305747012977,0.0,0.0,0.10092800557613373,0.0014830346309014884,4.097888596421258,0.7727165487739276,0.37484183311462405,0.024304967163705518
babi_task2,0.5,5,5,0.14296875,0.0225888004606265,-0.013768196105957031,0.009637121129567846,4.289659309387207,0.007688219701128775,0.5284916055202483,0.021551572086660968,0.02879158752039075,0.0025726032761896104,1.653125,0.13041026009290832,0.084765625,0.016919068615396653,0.0015625,0.001913663861549358,0.099525286257267,0.0013147881222707715,4.592690980045731,0.9161438555951097,0.5697318077087402,0.12061354776812065
babi_task2,1.0,1,5,0.1296875,0.037581292096267795,0.0,0.0,4.294450855255127,0.007692307799208299,0.5339441657066345,0.032572322741907175,0.0,0.0,1.0,0.0,0.059375,0.06923655950345164,0.059375,0.06923655950345164,0.09868121594190597,0.0010116796449810086,3.471114845710134,0.42908406823604095,0.19427475929260254,0.01382475895888958
babi_task2,1.0,3,5,0.1203125,0.060636274724788296,-0.00017175674438476562,0.0023941950008806016,4.2949746767679855,0.00833568589364338,0.5420556664466858,0.028393693821710662,0.02745369281619787,0.005438047577206309,1.390625,0.0997739143482654,0.081640625,0.01770354561503853,0.0,0.0,0.1009274423122406,0.001482906363343409,4.097254707943161,0.7729144675499074,0.5446229934692383,0.21786829483802514
babi_task2,1.0,5,5,0.14296875,0.0225888004606265,-0.007706642150878906,0.008357506243951119,4.292715702056886,0.006726096384555838,0.5284515368938446,0.02177773324562037,0.02808471964672208,0.002568694766790182,1.69921875,0.11925263689432615,0.086328125,0.016545170769177633,0.0015625,0.001913663861549358,0.09952505975961685,0.0013142600813701635,4.590947018754178,0.9179970624417262,0.5669427871704101,0.025061534288555256
hard_synthetic_multihop,0.25,1,5,0.06213592365384102,0.029190868165875395,0.0,0.0,2.3036659717559815,0.0036923039920463904,0.5295521795749665,0.025516628790888268,0.0,0.0,1.0,0.0,0.38252426981925963,0.047800132087359136,0.3825242718446602,0.04780013058287832,0.10010973513126373,0.0015872901199106694,1.2384354789516792,0.22026878256321833,1.3082872867584228,2.2250776973145308
hard_synthetic_multihop,0.25,3,5,0.06213592365384102,0.04007721935418108,0.0013361930847167968,0.005393798282823949,2.30461916923523,0.0027190770289075143,0.5246986428896586,0.014655384556384491,0.02717725094407797,0.005656738597415198,1.2213592529296875,0.04652096527447718,0.3092027097940445,0.032378050739371195,0.15145631067961166,0.03814928680463787,0.10020021498203277,0.0015897103558744695,1.2096044015409209,0.14536150012092922,0.3892582893371582,0.06251675270293128
hard_synthetic_multihop,0.25,5,5,0.05631068088114262,0.01980201778599534,-0.00500955581665039,0.009412681594192495,2.302477140426636,0.003596536676691583,0.5228977632522583,0.013482273838313043,0.026243198662996292,0.003441161832415802,1.4524271726608275,0.10646017450404396,0.2490585207939148,0.03214795211342105,0.14757281553398058,0.03214164147038223,0.09948023855686187,0.0016786224799385,1.3564949830912716,0.23353904695290031,0.6074138641357422,0.038111544419849604
hard_synthetic_multihop,0.5,1,5,0.06213592365384102,0.029190868165875395,0.0,0.0,2.3036659717559815,0.0036923039920463904,0.5295521795749665,0.025516628790888268,0.0,0.0,1.0,0.0,0.38252426981925963,0.047800132087359136,0.3825242718446602,0.04780013058287832,0.10010973513126373,0.0015872901199106694,1.2384354789516792,0.22026878256321833,0.1966486930847168,0.015011405961637086
hard_synthetic_multihop,0.5,3,5,0.06213592365384102,0.04007721935418108,0.004328632354736328,0.005229835637256748,2.3062041123708092,0.0024409328167638664,0.5247804919878643,0.014687159480282649,0.028852740302681923,0.00692176600011921,1.2446601867675782,0.0533185420096539,0.30759628415107726,0.037025925075235215,0.15145631067961166,0.03814928680463787,0.10020046830177307,0.0015892258774751432,1.2088954578417712,0.14565800273505441,0.5692026615142822,0.16015454131912507
hard_synthetic_multihop,0.5,5,5,0.056310680136084555,0.020732191322632328,0.0008317470550537109,0.008286305206385092,2.305505838394165,0.0029602230994729938,0.5229226183891297,0.013376130582464334,0.026443724520504475,0.003982390393316556,1.4834951639175415,0.10818166844172251,0.2475435122847557,0.031099818327379004,0.14563106796116504,0.02944805997689923,0.09948375672101975,0.001680344778339288,1.3572800073834748,0.23496123576472228,0.5927165985107422,0.04437680365839196
hard_synthetic_multihop,1.0,1,5,0.06213592365384102,0.029190868165875395,0.0,0.0,2.3036659717559815,0.0036923039920463904,0.5295521795749665,0.025516628790888268,0.0,0.0,1.0,0.0,0.38252426981925963,0.047800132087359136,0.3825242718446602,0.04780013058287832,0.10010973513126373,0.0015872901199106694,1.2384354789516792,0.22026878256321833,0.1952211856842041,0.026141739213678346
hard_synthetic_multihop,1.0,3,5,0.06213592365384102,0.04007721935418108,0.00894927978515625,0.004968670366289781,2.3088008085886638,0.0019535471051898364,0.5248028039932251,0.014573802045379012,0.034012672305107114,0.008805768034599204,1.2990291118621826,0.07275728002832009,0.3109597374995549,0.03978739153983789,0.15145631067961166,0.03814928680463787,0.10020059794187545,0.001589416930964468,1.2082415954116694,0.145119006963204,0.36347460746765137,0.02692524680787826
hard_synthetic_multihop,1.0,5,5,0.06019417531788349,0.02247735374045417,0.008057928085327149,0.006730871069228838,2.3097131633758545,0.0020594733190736746,0.5229642057418823,0.013146245056958484,0.028069511568173767,0.00523618116107103,1.5631067991256713,0.13438803438424243,0.2499302014708519,0.029985123139412935,0.14757281553398058,0.03214164147038223,0.099490424990654,0.0016839054430431756,1.3543863159477443,0.23348501981319914,0.523598575592041,0.05302322256550101
